Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 2.19e-08s
Time elapsed: 0.000609577s
Time elapsed: 0.000954439s
Time elapsed: 0.00112273s
Time elapsed: 0.00124598s
Time elapsed: 0.0013609s
Time elapsed: 0.00147292s
Time elapsed: 0.00153699s
Time elapsed: 0.00135363s
Time elapsed: 0.000885657s
Time elapsed: 0.000932237s
Time elapsed: 0.000957992s
Time elapsed: 0.000986761s
Time elapsed: 0.00102521s
Time elapsed: 0.00105447s
Time elapsed: 0.00107814s
Time elapsed: 0.00111075s
Time elapsed: 0.00111885s
Time elapsed: 0.00116746s
Time elapsed: 0.00118934s
Time elapsed: 0.0011999s
Time elapsed: 0.00123594s
Time elapsed: 0.00124773s
Time elapsed: 0.00128178s
Time elapsed: 0.00127264s
Time elapsed: 0.00133194s
Time elapsed: 0.00132567s
Time elapsed: 0.00136036s
Time elapsed: 0.00136596s
Time elapsed: 0.00138996s
Time elapsed: 0.00139056s
Time elapsed: 0.00144759s
Time elapsed: 0.00146085s
Time elapsed: 0.00147927s
Time elapsed: 0.00146991s
Time elapsed: 0.00151485s
Time elapsed: 0.00151177s
Time elapsed: 0.00151661s
Time elapsed: 0.00154515s
Time elapsed: 0.00155498s
Time elapsed: 0.00159558s
Time elapsed: 0.00157578s
Time elapsed: 0.00161344s
Time elapsed: 0.00162401s
Time elapsed: 0.00165639s
Time elapsed: 0.00164257s
Time elapsed: 0.00165171s
Time elapsed: 0.00175063s
Time elapsed: 0.00249135s
Time elapsed: 0.00199092s
Time elapsed: 0.00173457s
Time elapsed: 0.00173369s
Time elapsed: 0.00176321s
Time elapsed: 0.00176656s
Time elapsed: 0.00176525s
Time elapsed: 0.00177755s
Time elapsed: 0.00179136s
Time elapsed: 0.00180517s
Time elapsed: 0.00184389s
Time elapsed: 0.001852s
Time elapsed: 0.00184438s
Time elapsed: 0.00187582s
Time elapsed: 0.00187488s
Time elapsed: 0.00186752s
Time elapsed: 0.00187063s
Time elapsed: 0.00192209s
Time elapsed: 0.00190374s
Time elapsed: 0.00193379s
Time elapsed: 0.00196043s
Time elapsed: 0.0019669s
Time elapsed: 0.00194489s
Time elapsed: 0.00200328s
Time elapsed: 0.00196794s
Time elapsed: 0.00202894s
Time elapsed: 0.00201957s
Time elapsed: 0.00196467s
Time elapsed: 0.00204747s
Time elapsed: 0.00205896s
Time elapsed: 0.00205337s
Time elapsed: 0.00206948s
Time elapsed: 0.00208736s
Time elapsed: 0.00209168s
Time elapsed: 0.00208285s
Time elapsed: 0.0021217s
Time elapsed: 0.00211482s
Time elapsed: 0.0021075s
Time elapsed: 0.00212121s
Time elapsed: 0.00218328s
Time elapsed: 0.00215375s
Time elapsed: 0.00217126s
Time elapsed: 0.00216663s
Time elapsed: 0.00221942s
Time elapsed: 0.00216378s
Time elapsed: 0.00221426s
Time elapsed: 0.0021947s
Time elapsed: 0.00220212s
Time elapsed: 0.00220829s
Time elapsed: 0.00226665s
Time elapsed: 0.00222742s
Time elapsed: 0.002224s
Time elapsed: 0.00227349s
Time elapsed: 0.00232274s
Time elapsed: 0.00228974s
Time elapsed: 0.00229858s
Time elapsed: 0.00226404s
Time elapsed: 0.00232385s
Time elapsed: 0.00229908s
Time elapsed: 0.00232041s
Time elapsed: 0.00234217s
Time elapsed: 0.00233347s
Time elapsed: 0.00239095s
Time elapsed: 0.0023993s
Time elapsed: 0.0023656s
Time elapsed: 0.00239212s
Time elapsed: 0.00240033s
Time elapsed: 0.00236658s
Time elapsed: 0.00243092s
Time elapsed: 0.00244203s
Time elapsed: 0.00245085s
Time elapsed: 0.00246035s
Time elapsed: 0.00244945s
Time elapsed: 0.00237907s
Time elapsed: 0.00250737s
Time elapsed: 0.00242812s
Time elapsed: 0.00243581s
Time elapsed: 0.00248892s
Time elapsed: 0.00248886s
Time elapsed: 0.00251334s
Time elapsed: 0.00250821s
Time elapsed: 0.00252964s
Time elapsed: 0.00248562s
Time elapsed: 0.00252403s
Time elapsed: 0.0025054s
Time elapsed: 0.00255259s
Time elapsed: 0.00254982s
Time elapsed: 0.00253057s
Time elapsed: 0.00257259s
Time elapsed: 0.00256167s
Time elapsed: 0.00262314s
Time elapsed: 0.00256146s
Time elapsed: 0.00266659s
Time elapsed: 0.00253743s
Time elapsed: 0.00255567s
Time elapsed: 0.00266273s
Time elapsed: 0.0026473s
Time elapsed: 0.00263298s
Time elapsed: 0.00262707s
Time elapsed: 0.00267708s
Time elapsed: 0.00265261s
Time elapsed: 0.00265272s
Time elapsed: 0.00265641s
Time elapsed: 0.0027419s
Time elapsed: 0.00267084s
Time elapsed: 0.00267609s
Time elapsed: 0.00266429s
Time elapsed: 0.00269567s
Time elapsed: 0.00272712s
Time elapsed: 0.00270571s
Time elapsed: 0.00272501s
Time elapsed: 0.00271425s
Time elapsed: 0.00267644s
Time elapsed: 0.00279977s
Time elapsed: 0.0027333s
Time elapsed: 0.00277719s
Time elapsed: 0.00274398s
Time elapsed: 0.00277511s
Time elapsed: 0.00277408s
Time elapsed: 0.00284166s
Time elapsed: 0.002808s
Time elapsed: 0.00274989s
Time elapsed: 0.00283639s
Time elapsed: 0.00281973s
Time elapsed: 0.00279094s
Time elapsed: 0.00281925s
Time elapsed: 0.00280548s
Time elapsed: 0.00285384s
Time elapsed: 0.00282766s
Time elapsed: 0.0028267s
Time elapsed: 0.00287135s
Time elapsed: 0.00285769s
Time elapsed: 0.00289779s
Time elapsed: 0.00288887s
Time elapsed: 0.00284092s
Time elapsed: 0.0029603s
Time elapsed: 0.0028475s
Time elapsed: 0.00291922s
Time elapsed: 0.00295206s
Time elapsed: 0.00294971s
Time elapsed: 0.00291372s
Time elapsed: 0.00294338s
Time elapsed: 0.00294014s
Time elapsed: 0.00294522s
Time elapsed: 0.00295421s
Time elapsed: 0.00299575s
Time elapsed: 0.00293987s
Time elapsed: 0.0029638s
Time elapsed: 0.00296965s
Time elapsed: 0.00294104s
Time elapsed: 0.00294586s
Time elapsed: 0.00297479s
Time elapsed: 0.00305172s
Time elapsed: 0.00304028s
Time elapsed: 0.0030107s
Time elapsed: 0.00302748s
Time elapsed: 0.00302537s
Time elapsed: 0.00299826s
Time elapsed: 0.0030521s
Time elapsed: 0.0030487s
Time elapsed: 0.00302053s
Time elapsed: 0.00305382s
Time elapsed: 0.00303302s
Time elapsed: 0.00310217s
Time elapsed: 0.0030589s
Time elapsed: 0.00310204s
Time elapsed: 0.00306413s
Time elapsed: 0.00309383s
Time elapsed: 0.00315416s
Time elapsed: 0.00305739s
Time elapsed: 0.00309692s
Time elapsed: 0.00310462s
Time elapsed: 0.00304897s
Time elapsed: 0.00317046s
Time elapsed: 0.00306423s
Time elapsed: 0.00318569s
Time elapsed: 0.00311113s
Time elapsed: 0.00317091s
Time elapsed: 0.0031405s
Time elapsed: 0.00319918s
Time elapsed: 0.0031928s
Time elapsed: 0.00314547s
Time elapsed: 0.00317983s
Time elapsed: 0.00318015s
Time elapsed: 0.00315921s
Time elapsed: 0.00318028s
Time elapsed: 0.00316233s
Time elapsed: 0.00317366s
