Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 2.01e-08s
Time elapsed: 0.000610423s
Time elapsed: 0.000919183s
Time elapsed: 0.00100578s
Time elapsed: 0.000669262s
Time elapsed: 0.000721658s
Time elapsed: 0.000779111s
Time elapsed: 0.000811103s
Time elapsed: 0.000872102s
Time elapsed: 0.000901646s
Time elapsed: 0.000948735s
Time elapsed: 0.000984114s
Time elapsed: 0.00100677s
Time elapsed: 0.00104378s
Time elapsed: 0.00107158s
Time elapsed: 0.00109616s
Time elapsed: 0.00113173s
Time elapsed: 0.00113484s
Time elapsed: 0.00118602s
Time elapsed: 0.00120829s
Time elapsed: 0.00121908s
Time elapsed: 0.00125499s
Time elapsed: 0.00126351s
Time elapsed: 0.00131869s
Time elapsed: 0.00130599s
Time elapsed: 0.00136116s
Time elapsed: 0.00135206s
Time elapsed: 0.00137497s
Time elapsed: 0.00138325s
Time elapsed: 0.00140899s
Time elapsed: 0.00141482s
Time elapsed: 0.00145733s
Time elapsed: 0.00147983s
Time elapsed: 0.00149728s
Time elapsed: 0.00148923s
Time elapsed: 0.00152863s
Time elapsed: 0.00152958s
Time elapsed: 0.00153387s
Time elapsed: 0.00156634s
Time elapsed: 0.0015856s
Time elapsed: 0.0016152s
Time elapsed: 0.00160091s
Time elapsed: 0.0016309s
Time elapsed: 0.00164057s
Time elapsed: 0.00167578s
Time elapsed: 0.00166075s
Time elapsed: 0.00166724s
Time elapsed: 0.00169836s
Time elapsed: 0.00174304s
Time elapsed: 0.00173489s
Time elapsed: 0.00175276s
Time elapsed: 0.00174873s
Time elapsed: 0.001776s
Time elapsed: 0.00178489s
Time elapsed: 0.00178182s
Time elapsed: 0.00179796s
Time elapsed: 0.00181398s
Time elapsed: 0.0018249s
Time elapsed: 0.00186465s
Time elapsed: 0.00187027s
Time elapsed: 0.00186409s
Time elapsed: 0.00189841s
Time elapsed: 0.00189301s
Time elapsed: 0.00188637s
Time elapsed: 0.00189033s
Time elapsed: 0.00194166s
Time elapsed: 0.00192641s
Time elapsed: 0.00195015s
Time elapsed: 0.00198013s
Time elapsed: 0.00198385s
Time elapsed: 0.00196127s
Time elapsed: 0.00202503s
Time elapsed: 0.00198816s
Time elapsed: 0.00204688s
Time elapsed: 0.00204261s
Time elapsed: 0.00198588s
Time elapsed: 0.00206782s
Time elapsed: 0.00207663s
Time elapsed: 0.00206947s
Time elapsed: 0.00208584s
Time elapsed: 0.002105s
Time elapsed: 0.00210817s
Time elapsed: 0.00210008s
Time elapsed: 0.00213938s
Time elapsed: 0.00213345s
Time elapsed: 0.00212699s
Time elapsed: 0.00214802s
Time elapsed: 0.00219661s
Time elapsed: 0.00217294s
Time elapsed: 0.00218634s
Time elapsed: 0.00218396s
Time elapsed: 0.00223458s
Time elapsed: 0.00218035s
Time elapsed: 0.00223392s
Time elapsed: 0.00221171s
Time elapsed: 0.00222259s
Time elapsed: 0.00223296s
Time elapsed: 0.00228574s
Time elapsed: 0.00224469s
Time elapsed: 0.00225303s
Time elapsed: 0.00229223s
Time elapsed: 0.00233816s
Time elapsed: 0.00230553s
Time elapsed: 0.0023175s
Time elapsed: 0.00228591s
Time elapsed: 0.00233903s
Time elapsed: 0.00231787s
Time elapsed: 0.00233673s
Time elapsed: 0.00236171s
Time elapsed: 0.0023689s
Time elapsed: 0.00240497s
Time elapsed: 0.00241466s
Time elapsed: 0.00238779s
Time elapsed: 0.00240253s
Time elapsed: 0.002411s
Time elapsed: 0.00238992s
Time elapsed: 0.00244981s
Time elapsed: 0.00246206s
Time elapsed: 0.00246812s
Time elapsed: 0.0024768s
Time elapsed: 0.0024704s
Time elapsed: 0.00239724s
Time elapsed: 0.00253015s
Time elapsed: 0.00244224s
Time elapsed: 0.00245524s
Time elapsed: 0.00250826s
Time elapsed: 0.00250707s
Time elapsed: 0.00253335s
Time elapsed: 0.00252711s
Time elapsed: 0.00255123s
Time elapsed: 0.00250478s
Time elapsed: 0.0025428s
Time elapsed: 0.0025264s
Time elapsed: 0.00256932s
Time elapsed: 0.00256743s
Time elapsed: 0.00255066s
Time elapsed: 0.00259318s
Time elapsed: 0.00258087s
Time elapsed: 0.00264771s
Time elapsed: 0.00258585s
Time elapsed: 0.00268709s
Time elapsed: 0.00255823s
Time elapsed: 0.00257401s
Time elapsed: 0.00267659s
Time elapsed: 0.00266793s
Time elapsed: 0.00264795s
Time elapsed: 0.00264359s
Time elapsed: 0.00269859s
Time elapsed: 0.00267037s
Time elapsed: 0.00267356s
Time elapsed: 0.00268705s
Time elapsed: 0.00276319s
Time elapsed: 0.00269061s
Time elapsed: 0.00269356s
Time elapsed: 0.00268199s
Time elapsed: 0.00271595s
Time elapsed: 0.00274304s
Time elapsed: 0.002714s
Time elapsed: 0.00274951s
Time elapsed: 0.00274373s
Time elapsed: 0.00269226s
Time elapsed: 0.00281865s
Time elapsed: 0.00274969s
Time elapsed: 0.00279855s
Time elapsed: 0.00275891s
Time elapsed: 0.00279066s
Time elapsed: 0.00279628s
Time elapsed: 0.0028649s
Time elapsed: 0.00283163s
Time elapsed: 0.00276134s
Time elapsed: 0.00285331s
Time elapsed: 0.00283877s
Time elapsed: 0.00280695s
Time elapsed: 0.00283978s
Time elapsed: 0.00282264s
Time elapsed: 0.00287092s
Time elapsed: 0.00285029s
Time elapsed: 0.00284412s
Time elapsed: 0.00289059s
Time elapsed: 0.00287587s
Time elapsed: 0.0029103s
Time elapsed: 0.00290681s
Time elapsed: 0.00286226s
Time elapsed: 0.00297795s
Time elapsed: 0.00286611s
Time elapsed: 0.00293594s
Time elapsed: 0.00297925s
Time elapsed: 0.00296893s
Time elapsed: 0.00293084s
Time elapsed: 0.002987s
Time elapsed: 0.00296014s
Time elapsed: 0.002992s
Time elapsed: 0.00297211s
Time elapsed: 0.00301315s
Time elapsed: 0.00295957s
Time elapsed: 0.00298224s
Time elapsed: 0.00298737s
Time elapsed: 0.00296068s
Time elapsed: 0.00296387s
Time elapsed: 0.00299265s
Time elapsed: 0.00307277s
Time elapsed: 0.00306237s
Time elapsed: 0.00303236s
Time elapsed: 0.00304949s
Time elapsed: 0.0030384s
Time elapsed: 0.00301538s
Time elapsed: 0.00307041s
Time elapsed: 0.00306889s
Time elapsed: 0.0030365s
Time elapsed: 0.00307493s
Time elapsed: 0.00306158s
Time elapsed: 0.00312079s
Time elapsed: 0.00308221s
Time elapsed: 0.0031184s
Time elapsed: 0.00307703s
Time elapsed: 0.00311004s
Time elapsed: 0.00317273s
Time elapsed: 0.00307436s
Time elapsed: 0.00311483s
Time elapsed: 0.00312307s
Time elapsed: 0.00309879s
Time elapsed: 0.00318903s
Time elapsed: 0.00308144s
Time elapsed: 0.00320256s
Time elapsed: 0.00312985s
Time elapsed: 0.00318763s
Time elapsed: 0.00316021s
Time elapsed: 0.00321524s
Time elapsed: 0.00399235s
Time elapsed: 0.00336719s
Time elapsed: 0.00319793s
Time elapsed: 0.00319997s
Time elapsed: 0.00317791s
Time elapsed: 0.00319679s
Time elapsed: 0.0031783s
Time elapsed: 0.00318562s
