Algorithm picked: 0
Picked Trial Division
10000000
Time elapsed: 6.54e-08s
Time elapsed: 7.12057e-05s
Time elapsed: 0.000101206s
Time elapsed: 0.000117816s
Time elapsed: 0.000130292s
Time elapsed: 0.000127256s
Time elapsed: 6.646e-05s
Time elapsed: 7.07571e-05s
Time elapsed: 7.25738e-05s
Time elapsed: 7.6068e-05s
Time elapsed: 8.02583e-05s
Time elapsed: 8.23769e-05s
Time elapsed: 8.39513e-05s
Time elapsed: 8.86095e-05s
Time elapsed: 8.95587e-05s
Time elapsed: 9.11919e-05s
Time elapsed: 9.47841e-05s
Time elapsed: 9.41143e-05s
Time elapsed: 9.84635e-05s
Time elapsed: 9.53049e-05s
Time elapsed: 0.000103866s
Time elapsed: 0.000101361s
Time elapsed: 0.00010699s
Time elapsed: 0.00010801s
Time elapsed: 0.000109165s
Time elapsed: 0.000108184s
Time elapsed: 0.000110663s
Time elapsed: 0.000115551s
Time elapsed: 9.75714e-05s
Time elapsed: 6.1799e-05s
Time elapsed: 6.09815e-05s
Time elapsed: 6.13596e-05s
Time elapsed: 6.27102e-05s
Time elapsed: 6.63359e-05s
Time elapsed: 6.55408e-05s
Time elapsed: 6.56108e-05s
Time elapsed: 6.50774e-05s
Time elapsed: 6.71206e-05s
Time elapsed: 6.76827e-05s
Time elapsed: 6.63007e-05s
Time elapsed: 6.83799e-05s
Time elapsed: 6.72411e-05s
Time elapsed: 7.19377e-05s
Time elapsed: 7.2635e-05s
Time elapsed: 6.78327e-05s
Time elapsed: 7.25577e-05s
Time elapsed: 6.72487e-05s
Time elapsed: 7.21128e-05s
Time elapsed: 7.4298e-05s
Time elapsed: 7.13095e-05s
Time elapsed: 7.7237e-05s
Time elapsed: 7.41929e-05s
Time elapsed: 7.71674e-05s
Time elapsed: 7.53216e-05s
Time elapsed: 7.53742e-05s
Time elapsed: 7.68509e-05s
Time elapsed: 7.90105e-05s
Time elapsed: 8.2779e-05s
Time elapsed: 8.32107e-05s
Time elapsed: 8.3309e-05s
Time elapsed: 8.46902e-05s
Time elapsed: 8.1758e-05s
Time elapsed: 8.3676e-05s
Time elapsed: 8.4278e-05s
Time elapsed: 8.68667e-05s
Time elapsed: 8.2966e-05s
Time elapsed: 9.11532e-05s
Time elapsed: 8.75493e-05s
Time elapsed: 9.36418e-05s
Time elapsed: 8.37773e-05s
Time elapsed: 8.59136e-05s
Time elapsed: 9.4346e-05s
Time elapsed: 9.39026e-05s
Time elapsed: 9.25149e-05s
Time elapsed: 9.07716e-05s
Time elapsed: 9.43849e-05s
