Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 5.47e-08s
Time elapsed: 0.00123404s
Time elapsed: 0.000952345s
Time elapsed: 0.000938917s
Time elapsed: 0.000664695s
Time elapsed: 0.000711097s
Time elapsed: 0.000771588s
Time elapsed: 0.000802489s
Time elapsed: 0.000859845s
Time elapsed: 0.000902837s
Time elapsed: 0.000942067s
Time elapsed: 0.000963896s
Time elapsed: 0.000993712s
Time elapsed: 0.00103177s
Time elapsed: 0.00105979s
Time elapsed: 0.00108417s
Time elapsed: 0.00111434s
Time elapsed: 0.00112912s
Time elapsed: 0.00117436s
Time elapsed: 0.00119426s
Time elapsed: 0.00120635s
Time elapsed: 0.00124223s
Time elapsed: 0.00125343s
Time elapsed: 0.00128802s
Time elapsed: 0.00127684s
Time elapsed: 0.00133941s
Time elapsed: 0.00133121s
Time elapsed: 0.00136444s
Time elapsed: 0.0013763s
Time elapsed: 0.00139749s
Time elapsed: 0.00140217s
Time elapsed: 0.00144887s
Time elapsed: 0.00146872s
Time elapsed: 0.00148376s
Time elapsed: 0.00147664s
Time elapsed: 0.00151527s
Time elapsed: 0.0015247s
Time elapsed: 0.00152272s
Time elapsed: 0.00155215s
Time elapsed: 0.00156834s
Time elapsed: 0.00161129s
Time elapsed: 0.00159069s
Time elapsed: 0.00162656s
Time elapsed: 0.00163099s
Time elapsed: 0.00167431s
Time elapsed: 0.00165934s
Time elapsed: 0.00168502s
Time elapsed: 0.00173204s
Time elapsed: 0.00177012s
Time elapsed: 0.00173923s
Time elapsed: 0.00176961s
Time elapsed: 0.00178388s
Time elapsed: 0.00181598s
Time elapsed: 0.00181534s
Time elapsed: 0.00180452s
Time elapsed: 0.00180689s
Time elapsed: 0.00181143s
Time elapsed: 0.00183641s
Time elapsed: 0.00186596s
Time elapsed: 0.00187595s
Time elapsed: 0.00186415s
Time elapsed: 0.00189306s
Time elapsed: 0.00190625s
Time elapsed: 0.00188402s
Time elapsed: 0.0018941s
Time elapsed: 0.00194419s
Time elapsed: 0.00192322s
Time elapsed: 0.00195505s
Time elapsed: 0.00198203s
Time elapsed: 0.00199223s
Time elapsed: 0.00196835s
Time elapsed: 0.00203064s
Time elapsed: 0.0020031s
Time elapsed: 0.00205151s
Time elapsed: 0.00204436s
Time elapsed: 0.0019936s
Time elapsed: 0.00207283s
Time elapsed: 0.00208291s
Time elapsed: 0.00207414s
Time elapsed: 0.00209738s
Time elapsed: 0.00210063s
Time elapsed: 0.00211552s
Time elapsed: 0.00210754s
Time elapsed: 0.00215067s
Time elapsed: 0.00214917s
Time elapsed: 0.00214088s
Time elapsed: 0.00214864s
Time elapsed: 0.00220785s
Time elapsed: 0.00218056s
Time elapsed: 0.00218805s
Time elapsed: 0.00220153s
Time elapsed: 0.00225147s
Time elapsed: 0.00218711s
Time elapsed: 0.00225108s
Time elapsed: 0.00222433s
Time elapsed: 0.00222624s
Time elapsed: 0.00224571s
Time elapsed: 0.002307s
Time elapsed: 0.00225571s
Time elapsed: 0.00225718s
Time elapsed: 0.00231189s
Time elapsed: 0.00236534s
Time elapsed: 0.00232352s
Time elapsed: 0.00232625s
Time elapsed: 0.00229904s
Time elapsed: 0.0023706s
Time elapsed: 0.00233978s
Time elapsed: 0.00235792s
Time elapsed: 0.00238688s
Time elapsed: 0.00237272s
Time elapsed: 0.00243214s
Time elapsed: 0.00243685s
Time elapsed: 0.00241402s
Time elapsed: 0.00241995s
Time elapsed: 0.00242941s
Time elapsed: 0.00241198s
Time elapsed: 0.00246933s
Time elapsed: 0.00249315s
Time elapsed: 0.0024854s
Time elapsed: 0.00250012s
Time elapsed: 0.0024863s
Time elapsed: 0.00241281s
Time elapsed: 0.00254779s
Time elapsed: 0.00246184s
Time elapsed: 0.00247733s
Time elapsed: 0.00253383s
Time elapsed: 0.00252252s
Time elapsed: 0.00254912s
Time elapsed: 0.00255921s
Time elapsed: 0.0025922s
Time elapsed: 0.0025291s
Time elapsed: 0.00256969s
Time elapsed: 0.00253976s
Time elapsed: 0.00259077s
Time elapsed: 0.00258822s
Time elapsed: 0.00256931s
Time elapsed: 0.00261532s
Time elapsed: 0.00260177s
Time elapsed: 0.00268127s
Time elapsed: 0.00260133s
Time elapsed: 0.00271213s
Time elapsed: 0.00258956s
Time elapsed: 0.00259777s
Time elapsed: 0.00269637s
Time elapsed: 0.00268982s
Time elapsed: 0.00267243s
Time elapsed: 0.00266538s
Time elapsed: 0.00272918s
Time elapsed: 0.00269862s
Time elapsed: 0.00270463s
Time elapsed: 0.00269984s
Time elapsed: 0.00278467s
Time elapsed: 0.0027159s
Time elapsed: 0.00272654s
Time elapsed: 0.00271156s
Time elapsed: 0.00275157s
Time elapsed: 0.00277117s
Time elapsed: 0.00274634s
Time elapsed: 0.00277199s
Time elapsed: 0.00277157s
Time elapsed: 0.00272417s
Time elapsed: 0.00284592s
Time elapsed: 0.0027779s
Time elapsed: 0.00283198s
Time elapsed: 0.00280492s
Time elapsed: 0.00282027s
Time elapsed: 0.0028292s
Time elapsed: 0.00288972s
Time elapsed: 0.00285328s
Time elapsed: 0.00278765s
Time elapsed: 0.00288573s
Time elapsed: 0.00286495s
Time elapsed: 0.002842s
Time elapsed: 0.00287124s
Time elapsed: 0.00285517s
Time elapsed: 0.00291041s
Time elapsed: 0.00288062s
Time elapsed: 0.00287733s
Time elapsed: 0.00292514s
Time elapsed: 0.00291121s
Time elapsed: 0.00293373s
Time elapsed: 0.00293773s
Time elapsed: 0.00289966s
Time elapsed: 0.00300203s
Time elapsed: 0.00290224s
Time elapsed: 0.00296339s
Time elapsed: 0.00300341s
Time elapsed: 0.0029936s
Time elapsed: 0.00296915s
Time elapsed: 0.0030078s
Time elapsed: 0.00302993s
Time elapsed: 0.00301018s
Time elapsed: 0.00301249s
Time elapsed: 0.00306507s
Time elapsed: 0.00299973s
Time elapsed: 0.00301217s
Time elapsed: 0.00303568s
Time elapsed: 0.00299865s
Time elapsed: 0.00299925s
Time elapsed: 0.00302182s
Time elapsed: 0.00311771s
Time elapsed: 0.00309749s
Time elapsed: 0.00306333s
Time elapsed: 0.00307731s
Time elapsed: 0.00307121s
Time elapsed: 0.00304911s
Time elapsed: 0.00311372s
Time elapsed: 0.00310473s
Time elapsed: 0.00306337s
Time elapsed: 0.00310862s
Time elapsed: 0.00309292s
Time elapsed: 0.0031615s
Time elapsed: 0.00312271s
Time elapsed: 0.00316691s
Time elapsed: 0.00312056s
Time elapsed: 0.00315662s
Time elapsed: 0.00321787s
Time elapsed: 0.00311464s
Time elapsed: 0.00317927s
Time elapsed: 0.00339941s
Time elapsed: 0.00307009s
Time elapsed: 0.00318624s
Time elapsed: 0.00311614s
Time elapsed: 0.0032585s
Time elapsed: 0.00318473s
Time elapsed: 0.00326276s
Time elapsed: 0.00322512s
Time elapsed: 0.00328567s
Time elapsed: 0.00328341s
Time elapsed: 0.00321419s
Time elapsed: 0.00327771s
Time elapsed: 0.00328239s
Time elapsed: 0.00326016s
Time elapsed: 0.00329304s
Time elapsed: 0.00326051s
Time elapsed: 0.00326904s
