Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 1.94e-08s
Time elapsed: 0.000613095s
Time elapsed: 0.000920762s
Time elapsed: 0.00092647s
Time elapsed: 0.000649969s
Time elapsed: 0.000706711s
Time elapsed: 0.000763607s
Time elapsed: 0.000798724s
Time elapsed: 0.000854139s
Time elapsed: 0.000890543s
Time elapsed: 0.000951512s
Time elapsed: 0.000992482s
Time elapsed: 0.000992918s
Time elapsed: 0.00103238s
Time elapsed: 0.00105361s
Time elapsed: 0.00108247s
Time elapsed: 0.00111361s
Time elapsed: 0.00112073s
Time elapsed: 0.00116738s
Time elapsed: 0.00119661s
Time elapsed: 0.00120142s
Time elapsed: 0.00123704s
Time elapsed: 0.00125056s
Time elapsed: 0.00128844s
Time elapsed: 0.00131624s
Time elapsed: 0.00133761s
Time elapsed: 0.00132653s
Time elapsed: 0.00137302s
Time elapsed: 0.0013705s
Time elapsed: 0.00139527s
Time elapsed: 0.00139572s
Time elapsed: 0.00145023s
Time elapsed: 0.00146637s
Time elapsed: 0.0014835s
Time elapsed: 0.00148055s
Time elapsed: 0.00151524s
Time elapsed: 0.00151685s
Time elapsed: 0.00152012s
Time elapsed: 0.00155825s
Time elapsed: 0.00155978s
Time elapsed: 0.00160568s
Time elapsed: 0.00158083s
Time elapsed: 0.00161717s
Time elapsed: 0.00162247s
Time elapsed: 0.00165928s
Time elapsed: 0.00164905s
Time elapsed: 0.00165258s
Time elapsed: 0.00173038s
Time elapsed: 0.00175334s
Time elapsed: 0.00171079s
Time elapsed: 0.00173694s
Time elapsed: 0.00173375s
Time elapsed: 0.00176397s
Time elapsed: 0.00177225s
Time elapsed: 0.00177021s
Time elapsed: 0.00178365s
Time elapsed: 0.00180208s
Time elapsed: 0.00181976s
Time elapsed: 0.00186742s
Time elapsed: 0.00185843s
Time elapsed: 0.00184612s
Time elapsed: 0.00188461s
Time elapsed: 0.00188009s
Time elapsed: 0.0018771s
Time elapsed: 0.00187735s
Time elapsed: 0.00192768s
Time elapsed: 0.00191392s
Time elapsed: 0.00193906s
Time elapsed: 0.00196831s
Time elapsed: 0.00197328s
Time elapsed: 0.00195094s
Time elapsed: 0.00200954s
Time elapsed: 0.00199266s
Time elapsed: 0.00204008s
Time elapsed: 0.00203278s
Time elapsed: 0.0019793s
Time elapsed: 0.00205208s
Time elapsed: 0.00206343s
Time elapsed: 0.00205832s
Time elapsed: 0.00207155s
Time elapsed: 0.00209331s
Time elapsed: 0.00209709s
Time elapsed: 0.00208565s
Time elapsed: 0.00213834s
Time elapsed: 0.0021197s
Time elapsed: 0.00211158s
Time elapsed: 0.00212617s
Time elapsed: 0.00218088s
Time elapsed: 0.00225655s
Time elapsed: 0.00230111s
Time elapsed: 0.00217822s
Time elapsed: 0.00222276s
Time elapsed: 0.00217049s
Time elapsed: 0.00221744s
Time elapsed: 0.00220114s
Time elapsed: 0.00220589s
Time elapsed: 0.0022202s
Time elapsed: 0.00228179s
Time elapsed: 0.002242s
Time elapsed: 0.0022261s
Time elapsed: 0.00227303s
Time elapsed: 0.00232142s
Time elapsed: 0.00228733s
Time elapsed: 0.00230207s
Time elapsed: 0.00226348s
Time elapsed: 0.00232533s
Time elapsed: 0.00230222s
Time elapsed: 0.00231917s
Time elapsed: 0.00234239s
Time elapsed: 0.00233462s
Time elapsed: 0.00239016s
Time elapsed: 0.00239879s
Time elapsed: 0.00236373s
Time elapsed: 0.0023861s
Time elapsed: 0.00239445s
Time elapsed: 0.00236981s
Time elapsed: 0.00243483s
Time elapsed: 0.00244711s
Time elapsed: 0.00246116s
Time elapsed: 0.00246152s
Time elapsed: 0.00245519s
Time elapsed: 0.00238711s
Time elapsed: 0.00250918s
Time elapsed: 0.00242356s
Time elapsed: 0.00243786s
Time elapsed: 0.00249145s
Time elapsed: 0.00248866s
Time elapsed: 0.00251334s
Time elapsed: 0.00251246s
Time elapsed: 0.00253418s
Time elapsed: 0.00248367s
Time elapsed: 0.00252678s
Time elapsed: 0.00250749s
Time elapsed: 0.00255357s
Time elapsed: 0.00255442s
Time elapsed: 0.00253126s
Time elapsed: 0.0025738s
Time elapsed: 0.00256132s
Time elapsed: 0.0026267s
Time elapsed: 0.00256262s
Time elapsed: 0.00266984s
Time elapsed: 0.00253997s
Time elapsed: 0.00256105s
Time elapsed: 0.00265668s
Time elapsed: 0.00264907s
Time elapsed: 0.0026306s
Time elapsed: 0.00262696s
Time elapsed: 0.00267657s
Time elapsed: 0.00265043s
Time elapsed: 0.00265334s
Time elapsed: 0.00266194s
Time elapsed: 0.00274789s
Time elapsed: 0.00267302s
Time elapsed: 0.00267856s
Time elapsed: 0.00266247s
Time elapsed: 0.00269705s
Time elapsed: 0.00272658s
Time elapsed: 0.00271332s
Time elapsed: 0.00273665s
Time elapsed: 0.0027274s
Time elapsed: 0.00268056s
Time elapsed: 0.00280631s
Time elapsed: 0.00273104s
Time elapsed: 0.00277976s
Time elapsed: 0.00274551s
Time elapsed: 0.00277569s
Time elapsed: 0.00277848s
Time elapsed: 0.00284259s
Time elapsed: 0.00281014s
Time elapsed: 0.00274193s
Time elapsed: 0.00284957s
Time elapsed: 0.0028224s
Time elapsed: 0.00279286s
Time elapsed: 0.00282437s
Time elapsed: 0.00282002s
Time elapsed: 0.00285936s
Time elapsed: 0.00283367s
Time elapsed: 0.00282581s
Time elapsed: 0.00287738s
Time elapsed: 0.00286211s
Time elapsed: 0.00289059s
Time elapsed: 0.00289233s
Time elapsed: 0.00284583s
Time elapsed: 0.00296197s
Time elapsed: 0.00284778s
Time elapsed: 0.0029157s
Time elapsed: 0.00295174s
Time elapsed: 0.00295147s
Time elapsed: 0.00291385s
Time elapsed: 0.00294326s
Time elapsed: 0.00294064s
Time elapsed: 0.00294625s
Time elapsed: 0.00296228s
Time elapsed: 0.00300542s
Time elapsed: 0.00294095s
Time elapsed: 0.00296716s
Time elapsed: 0.00299034s
Time elapsed: 0.00293945s
Time elapsed: 0.00294616s
Time elapsed: 0.00297429s
Time elapsed: 0.00305358s
Time elapsed: 0.00304236s
Time elapsed: 0.00301141s
Time elapsed: 0.00302984s
Time elapsed: 0.00302005s
Time elapsed: 0.00299901s
Time elapsed: 0.00305509s
Time elapsed: 0.00304809s
Time elapsed: 0.00301995s
Time elapsed: 0.00306132s
Time elapsed: 0.00303213s
Time elapsed: 0.00310436s
Time elapsed: 0.00305969s
Time elapsed: 0.00310333s
Time elapsed: 0.00305731s
Time elapsed: 0.00309713s
Time elapsed: 0.00315503s
Time elapsed: 0.00305658s
Time elapsed: 0.00309492s
Time elapsed: 0.00310491s
Time elapsed: 0.00305009s
Time elapsed: 0.00317173s
Time elapsed: 0.00306687s
Time elapsed: 0.00318459s
Time elapsed: 0.00311394s
Time elapsed: 0.00317409s
Time elapsed: 0.00314873s
Time elapsed: 0.00319718s
Time elapsed: 0.00319328s
Time elapsed: 0.00312477s
Time elapsed: 0.00318656s
Time elapsed: 0.00319513s
Time elapsed: 0.00316091s
Time elapsed: 0.00317927s
Time elapsed: 0.00316128s
Time elapsed: 0.00316732s
