Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 3e-08s
Time elapsed: 0.000471749s
Time elapsed: 0.000732142s
Time elapsed: 0.000883953s
Time elapsed: 0.00100374s
Time elapsed: 0.000529017s
Time elapsed: 0.000575839s
Time elapsed: 0.000602523s
Time elapsed: 0.000646311s
Time elapsed: 0.00067021s
Time elapsed: 0.000702002s
Time elapsed: 0.000723755s
Time elapsed: 0.000765718s
Time elapsed: 0.000781918s
Time elapsed: 0.000801497s
Time elapsed: 0.000819685s
Time elapsed: 0.00083811s
Time elapsed: 0.000850532s
Time elapsed: 0.000887607s
Time elapsed: 0.000900666s
Time elapsed: 0.000911688s
Time elapsed: 0.000937329s
Time elapsed: 0.000948867s
Time elapsed: 0.000974965s
Time elapsed: 0.00096738s
Time elapsed: 0.001014s
Time elapsed: 0.00100699s
Time elapsed: 0.00103449s
Time elapsed: 0.00103876s
Time elapsed: 0.00105619s
Time elapsed: 0.00106181s
Time elapsed: 0.00109355s
Time elapsed: 0.00111613s
Time elapsed: 0.00112786s
Time elapsed: 0.00111996s
Time elapsed: 0.00115223s
Time elapsed: 0.00115156s
Time elapsed: 0.00115824s
Time elapsed: 0.00117788s
Time elapsed: 0.0011905s
Time elapsed: 0.0012183s
Time elapsed: 0.00120288s
Time elapsed: 0.00123886s
Time elapsed: 0.00123976s
Time elapsed: 0.0012664s
Time elapsed: 0.00125155s
Time elapsed: 0.00125844s
Time elapsed: 0.00127998s
Time elapsed: 0.00131295s
Time elapsed: 0.00129654s
Time elapsed: 0.00132216s
Time elapsed: 0.00132455s
Time elapsed: 0.00134298s
Time elapsed: 0.00134783s
Time elapsed: 0.0013461s
Time elapsed: 0.00135726s
Time elapsed: 0.00137508s
Time elapsed: 0.00141663s
Time elapsed: 0.00141989s
Time elapsed: 0.00141421s
Time elapsed: 0.00143821s
Time elapsed: 0.00143078s
Time elapsed: 0.0014294s
Time elapsed: 0.00142573s
Time elapsed: 0.00143603s
Time elapsed: 0.0014718s
Time elapsed: 0.00145365s
Time elapsed: 0.00147545s
Time elapsed: 0.00149734s
Time elapsed: 0.00149958s
Time elapsed: 0.00148516s
Time elapsed: 0.00153697s
Time elapsed: 0.00150612s
Time elapsed: 0.00154896s
Time elapsed: 0.00154782s
Time elapsed: 0.00150109s
Time elapsed: 0.00156386s
Time elapsed: 0.00157518s
Time elapsed: 0.00157701s
Time elapsed: 0.00178406s
Time elapsed: 0.00159345s
Time elapsed: 0.00159646s
Time elapsed: 0.00158906s
Time elapsed: 0.00161902s
Time elapsed: 0.00161906s
Time elapsed: 0.00161145s
Time elapsed: 0.00162447s
Time elapsed: 0.00166389s
Time elapsed: 0.00164756s
Time elapsed: 0.00165662s
Time elapsed: 0.00166305s
Time elapsed: 0.00169499s
Time elapsed: 0.00164994s
Time elapsed: 0.00169127s
Time elapsed: 0.00167479s
Time elapsed: 0.00168561s
Time elapsed: 0.00169492s
Time elapsed: 0.00173206s
Time elapsed: 0.00170059s
Time elapsed: 0.00169815s
Time elapsed: 0.0017373s
Time elapsed: 0.00177474s
Time elapsed: 0.00175298s
Time elapsed: 0.00175848s
Time elapsed: 0.00172883s
Time elapsed: 0.00178341s
Time elapsed: 0.00175957s
Time elapsed: 0.00177466s
Time elapsed: 0.00179305s
Time elapsed: 0.00178483s
Time elapsed: 0.00182469s
Time elapsed: 0.00183138s
Time elapsed: 0.00181091s
Time elapsed: 0.00182377s
Time elapsed: 0.00182949s
Time elapsed: 0.00180985s
Time elapsed: 0.00185814s
Time elapsed: 0.00186915s
Time elapsed: 0.00187731s
Time elapsed: 0.00189909s
Time elapsed: 0.00187262s
Time elapsed: 0.00181883s
Time elapsed: 0.00191811s
Time elapsed: 0.00185423s
Time elapsed: 0.00186519s
Time elapsed: 0.00190395s
Time elapsed: 0.00190401s
Time elapsed: 0.0019215s
Time elapsed: 0.00191801s
Time elapsed: 0.00193606s
Time elapsed: 0.0018974s
Time elapsed: 0.00193071s
Time elapsed: 0.00193181s
Time elapsed: 0.00195163s
Time elapsed: 0.00195439s
Time elapsed: 0.0019353s
Time elapsed: 0.00196892s
Time elapsed: 0.00195864s
Time elapsed: 0.00200863s
Time elapsed: 0.00196117s
Time elapsed: 0.00204406s
Time elapsed: 0.00194085s
Time elapsed: 0.00196117s
Time elapsed: 0.00203302s
Time elapsed: 0.00203101s
Time elapsed: 0.00201601s
Time elapsed: 0.00200998s
Time elapsed: 0.00205109s
Time elapsed: 0.00202871s
Time elapsed: 0.00203494s
Time elapsed: 0.00203411s
Time elapsed: 0.00209946s
Time elapsed: 0.00204491s
Time elapsed: 0.0020459s
Time elapsed: 0.00204309s
Time elapsed: 0.00206347s
Time elapsed: 0.00208433s
Time elapsed: 0.00206318s
Time elapsed: 0.00209324s
Time elapsed: 0.00208807s
Time elapsed: 0.00204781s
Time elapsed: 0.00214211s
Time elapsed: 0.00209207s
Time elapsed: 0.00212748s
Time elapsed: 0.00210274s
Time elapsed: 0.00212051s
Time elapsed: 0.00212284s
Time elapsed: 0.00217414s
Time elapsed: 0.00214861s
Time elapsed: 0.00210628s
Time elapsed: 0.00217479s
Time elapsed: 0.00215725s
Time elapsed: 0.00213815s
Time elapsed: 0.00215904s
Time elapsed: 0.00214785s
Time elapsed: 0.00218337s
Time elapsed: 0.0021672s
Time elapsed: 0.00216134s
Time elapsed: 0.0021976s
Time elapsed: 0.00218876s
Time elapsed: 0.00221456s
Time elapsed: 0.00221003s
Time elapsed: 0.00217679s
Time elapsed: 0.00226847s
Time elapsed: 0.00218023s
Time elapsed: 0.00223464s
Time elapsed: 0.00226227s
Time elapsed: 0.00226169s
Time elapsed: 0.00223051s
Time elapsed: 0.00225199s
Time elapsed: 0.00225703s
Time elapsed: 0.00225806s
Time elapsed: 0.00226088s
Time elapsed: 0.0022975s
Time elapsed: 0.00225139s
Time elapsed: 0.00226994s
Time elapsed: 0.00227268s
Time elapsed: 0.00225305s
Time elapsed: 0.00225562s
Time elapsed: 0.0022772s
Time elapsed: 0.00233945s
Time elapsed: 0.00232791s
Time elapsed: 0.00230491s
Time elapsed: 0.00231884s
Time elapsed: 0.00232266s
Time elapsed: 0.002296s
Time elapsed: 0.00233462s
Time elapsed: 0.00233604s
Time elapsed: 0.00230947s
Time elapsed: 0.00234126s
Time elapsed: 0.00232353s
Time elapsed: 0.0023774s
Time elapsed: 0.00234549s
Time elapsed: 0.00237362s
Time elapsed: 0.00234076s
Time elapsed: 0.00237404s
Time elapsed: 0.00241287s
Time elapsed: 0.00234088s
Time elapsed: 0.00237313s
Time elapsed: 0.00237561s
Time elapsed: 0.0023341s
Time elapsed: 0.00242562s
Time elapsed: 0.00234499s
Time elapsed: 0.00243865s
Time elapsed: 0.00238244s
Time elapsed: 0.00243596s
Time elapsed: 0.00240352s
Time elapsed: 0.00244766s
Time elapsed: 0.00244607s
Time elapsed: 0.00238879s
Time elapsed: 0.00243588s
Time elapsed: 0.00243956s
Time elapsed: 0.00241653s
Time elapsed: 0.00243439s
Time elapsed: 0.00242197s
Time elapsed: 0.00242483s
