Algorithm picked: 0
Picked Trial Division
1000000
Time elapsed: 4.81e-08s
Time elapsed: 6.80096e-05s
Time elapsed: 9.70681e-05s
Time elapsed: 0.000112568s
Time elapsed: 0.000124091s
Time elapsed: 0.000131679s
Time elapsed: 6.67539e-05s
Time elapsed: 7.12421e-05s
Time elapsed: 7.26476e-05s
Time elapsed: 7.61275e-05s
Time elapsed: 8.05822e-05s
Time elapsed: 8.26614e-05s
Time elapsed: 8.41007e-05s
Time elapsed: 8.80245e-05s
Time elapsed: 9.03202e-05s
Time elapsed: 9.12625e-05s
Time elapsed: 9.48354e-05s
Time elapsed: 9.42955e-05s
Time elapsed: 9.87782e-05s
Time elapsed: 9.64045e-05s
Time elapsed: 0.000104212s
Time elapsed: 0.000101622s
Time elapsed: 0.000106384s
Time elapsed: 0.000108103s
Time elapsed: 0.000109147s
Time elapsed: 0.000108792s
Time elapsed: 0.000111227s
Time elapsed: 0.00011506s
Time elapsed: 5.98879e-05s
Time elapsed: 6.17625e-05s
Time elapsed: 6.07129e-05s
Time elapsed: 6.14843e-05s
Time elapsed: 6.2789e-05s
Time elapsed: 6.63468e-05s
Time elapsed: 6.54673e-05s
Time elapsed: 6.57487e-05s
Time elapsed: 6.5088e-05s
Time elapsed: 6.72379e-05s
Time elapsed: 6.73346e-05s
Time elapsed: 6.63212e-05s
Time elapsed: 6.85681e-05s
Time elapsed: 6.69735e-05s
Time elapsed: 7.18246e-05s
Time elapsed: 7.27815e-05s
Time elapsed: 6.80376e-05s
Time elapsed: 7.4246e-05s
Time elapsed: 6.7726e-05s
Time elapsed: 7.19591e-05s
Time elapsed: 7.46482e-05s
Time elapsed: 7.11092e-05s
Time elapsed: 7.75291e-05s
Time elapsed: 7.4616e-05s
Time elapsed: 7.81156e-05s
Time elapsed: 7.5139e-05s
Time elapsed: 7.58382e-05s
Time elapsed: 7.80594e-05s
Time elapsed: 7.90087e-05s
Time elapsed: 8.14179e-05s
Time elapsed: 7.86979e-05s
Time elapsed: 8.09845e-05s
Time elapsed: 8.60638e-05s
Time elapsed: 8.49617e-05s
Time elapsed: 8.72602e-05s
Time elapsed: 8.53713e-05s
Time elapsed: 8.97008e-05s
Time elapsed: 8.27854e-05s
Time elapsed: 9.11054e-05s
Time elapsed: 8.85281e-05s
Time elapsed: 9.45846e-05s
Time elapsed: 8.4717e-05s
Time elapsed: 8.7139e-05s
Time elapsed: 9.61622e-05s
Time elapsed: 9.55169e-05s
Time elapsed: 9.35717e-05s
Time elapsed: 9.04427e-05s
Time elapsed: 9.41203e-05s
Time elapsed: 9.65481e-05s
Time elapsed: 8.99305e-05s
Time elapsed: 9.85163e-05s
Time elapsed: 9.40321e-05s
Time elapsed: 9.75669e-05s
Time elapsed: 9.60527e-05s
Time elapsed: 9.83556e-05s
Time elapsed: 9.80849e-05s
Time elapsed: 9.6239e-05s
Time elapsed: 9.71117e-05s
Time elapsed: 9.71389e-05s
Time elapsed: 9.90238e-05s
Time elapsed: 0.00010138s
Time elapsed: 9.62566e-05s
Time elapsed: 0.000104832s
Time elapsed: 0.000103353s
Time elapsed: 0.000104841s
Time elapsed: 0.00011026s
Time elapsed: 0.000105502s
Time elapsed: 0.000105454s
Time elapsed: 0.000108722s
Time elapsed: 0.000104843s
Time elapsed: 0.00010277s
