Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 4.9e-08s
Time elapsed: 0.000865104s
Time elapsed: 0.000927679s
Time elapsed: 0.000958437s
Time elapsed: 0.000654151s
Time elapsed: 0.000714952s
Time elapsed: 0.000769937s
Time elapsed: 0.000802673s
Time elapsed: 0.000860409s
Time elapsed: 0.000901259s
Time elapsed: 0.000967668s
Time elapsed: 0.00100075s
Time elapsed: 0.00103861s
Time elapsed: 0.00106277s
Time elapsed: 0.00110542s
Time elapsed: 0.00113878s
Time elapsed: 0.00116003s
Time elapsed: 0.00116949s
Time elapsed: 0.001239s
Time elapsed: 0.00123988s
Time elapsed: 0.00126226s
Time elapsed: 0.00130292s
Time elapsed: 0.00131765s
Time elapsed: 0.00138919s
Time elapsed: 0.00139162s
Time elapsed: 0.00143476s
Time elapsed: 0.00139902s
Time elapsed: 0.00144138s
Time elapsed: 0.00145699s
Time elapsed: 0.00147242s
Time elapsed: 0.00147656s
Time elapsed: 0.00152395s
Time elapsed: 0.00156518s
Time elapsed: 0.00157106s
Time elapsed: 0.00157103s
Time elapsed: 0.00160433s
Time elapsed: 0.00160731s
Time elapsed: 0.0016181s
Time elapsed: 0.00165387s
Time elapsed: 0.00165236s
Time elapsed: 0.00169689s
Time elapsed: 0.00168619s
Time elapsed: 0.0017133s
Time elapsed: 0.00172786s
Time elapsed: 0.00178017s
Time elapsed: 0.00177849s
Time elapsed: 0.00180507s
Time elapsed: 0.00180003s
Time elapsed: 0.00184948s
Time elapsed: 0.00184674s
Time elapsed: 0.00187697s
Time elapsed: 0.00187713s
Time elapsed: 0.00191911s
Time elapsed: 0.00191193s
Time elapsed: 0.00191616s
Time elapsed: 0.00192556s
Time elapsed: 0.00194129s
Time elapsed: 0.00194836s
Time elapsed: 0.00199516s
Time elapsed: 0.00200369s
Time elapsed: 0.0019948s
Time elapsed: 0.00201851s
Time elapsed: 0.00203266s
Time elapsed: 0.00200637s
Time elapsed: 0.00201751s
Time elapsed: 0.00208996s
Time elapsed: 0.00206893s
Time elapsed: 0.00210226s
Time elapsed: 0.00211798s
Time elapsed: 0.00213695s
Time elapsed: 0.00210517s
Time elapsed: 0.0021771s
Time elapsed: 0.00211933s
Time elapsed: 0.00218081s
Time elapsed: 0.00219049s
Time elapsed: 0.00211237s
Time elapsed: 0.00218915s
Time elapsed: 0.00223179s
Time elapsed: 0.00221315s
Time elapsed: 0.00223626s
Time elapsed: 0.00224011s
Time elapsed: 0.00224833s
Time elapsed: 0.00223262s
Time elapsed: 0.00229344s
Time elapsed: 0.00227717s
Time elapsed: 0.00226219s
Time elapsed: 0.00229021s
Time elapsed: 0.00235574s
Time elapsed: 0.00230857s
Time elapsed: 0.00234852s
Time elapsed: 0.00231481s
Time elapsed: 0.00238651s
Time elapsed: 0.0023393s
Time elapsed: 0.00237622s
Time elapsed: 0.00235324s
Time elapsed: 0.00235554s
Time elapsed: 0.00237496s
Time elapsed: 0.00243498s
Time elapsed: 0.00238618s
Time elapsed: 0.00238164s
Time elapsed: 0.00244835s
Time elapsed: 0.00248434s
Time elapsed: 0.00245281s
Time elapsed: 0.00247238s
Time elapsed: 0.00243559s
Time elapsed: 0.00248931s
Time elapsed: 0.00246798s
Time elapsed: 0.00249091s
Time elapsed: 0.00253448s
Time elapsed: 0.00251205s
Time elapsed: 0.00256541s
Time elapsed: 0.00257459s
Time elapsed: 0.002544s
Time elapsed: 0.00254577s
Time elapsed: 0.0025667s
Time elapsed: 0.00264296s
Time elapsed: 0.00261538s
Time elapsed: 0.00262267s
Time elapsed: 0.00264034s
Time elapsed: 0.00263921s
Time elapsed: 0.00264603s
Time elapsed: 0.00254525s
Time elapsed: 0.00269547s
Time elapsed: 0.0026087s
Time elapsed: 0.00262459s
Time elapsed: 0.00266207s
Time elapsed: 0.00266787s
Time elapsed: 0.00269521s
Time elapsed: 0.00268615s
Time elapsed: 0.00270873s
Time elapsed: 0.0026517s
Time elapsed: 0.00272229s
Time elapsed: 0.00268289s
Time elapsed: 0.00273433s
Time elapsed: 0.00273701s
Time elapsed: 0.00271459s
Time elapsed: 0.00276013s
Time elapsed: 0.00274065s
Time elapsed: 0.00282509s
Time elapsed: 0.00273619s
Time elapsed: 0.00286217s
Time elapsed: 0.00271611s
Time elapsed: 0.00274142s
Time elapsed: 0.00284869s
Time elapsed: 0.00283842s
Time elapsed: 0.00281578s
Time elapsed: 0.00280182s
Time elapsed: 0.00285971s
Time elapsed: 0.00283571s
Time elapsed: 0.00282815s
Time elapsed: 0.00285213s
Time elapsed: 0.00294673s
Time elapsed: 0.00287244s
Time elapsed: 0.00287134s
Time elapsed: 0.00284846s
Time elapsed: 0.00288632s
Time elapsed: 0.00292385s
Time elapsed: 0.00287829s
Time elapsed: 0.0029249s
Time elapsed: 0.00291747s
Time elapsed: 0.00285742s
Time elapsed: 0.00300851s
Time elapsed: 0.00293139s
Time elapsed: 0.00297747s
Time elapsed: 0.00294112s
Time elapsed: 0.0029601s
Time elapsed: 0.00297797s
Time elapsed: 0.00304593s
Time elapsed: 0.00301196s
Time elapsed: 0.0029371s
Time elapsed: 0.00303747s
Time elapsed: 0.00302258s
Time elapsed: 0.00298598s
Time elapsed: 0.00302032s
Time elapsed: 0.00300695s
Time elapsed: 0.00305244s
Time elapsed: 0.00304303s
Time elapsed: 0.0030362s
Time elapsed: 0.00308841s
Time elapsed: 0.00305983s
Time elapsed: 0.00312168s
Time elapsed: 0.00310733s
Time elapsed: 0.00307059s
Time elapsed: 0.00317465s
Time elapsed: 0.00304326s
Time elapsed: 0.00313079s
Time elapsed: 0.00318161s
Time elapsed: 0.00318624s
Time elapsed: 0.00312713s
Time elapsed: 0.00316913s
Time elapsed: 0.00316163s
Time elapsed: 0.00317122s
Time elapsed: 0.00318913s
Time elapsed: 0.00321835s
Time elapsed: 0.00317117s
Time elapsed: 0.0031834s
Time elapsed: 0.00318964s
Time elapsed: 0.00316181s
Time elapsed: 0.00316453s
Time elapsed: 0.00318693s
Time elapsed: 0.00327837s
Time elapsed: 0.00327761s
Time elapsed: 0.00323571s
Time elapsed: 0.00326398s
Time elapsed: 0.00324434s
Time elapsed: 0.0032152s
Time elapsed: 0.00327509s
Time elapsed: 0.00327826s
Time elapsed: 0.00322918s
Time elapsed: 0.00328937s
Time elapsed: 0.00325977s
Time elapsed: 0.00333324s
Time elapsed: 0.00328192s
Time elapsed: 0.00333354s
Time elapsed: 0.00329651s
Time elapsed: 0.00331263s
Time elapsed: 0.00338384s
Time elapsed: 0.00329421s
Time elapsed: 0.00333243s
Time elapsed: 0.00336197s
Time elapsed: 0.00327908s
Time elapsed: 0.00340105s
Time elapsed: 0.00328321s
Time elapsed: 0.00342608s
Time elapsed: 0.00333894s
Time elapsed: 0.0034068s
Time elapsed: 0.00338371s
Time elapsed: 0.00344879s
Time elapsed: 0.00343146s
Time elapsed: 0.00335617s
Time elapsed: 0.00341796s
Time elapsed: 0.0034297s
Time elapsed: 0.00340209s
Time elapsed: 0.00341388s
Time elapsed: 0.00340087s
Time elapsed: 0.00340591s
